Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип,Twitter,Telegram 1,Telegram 2,Telegram 3,Тип;;;;;;;;;;;;;;;;;;;,E-mail,Тип;;;;;;;;;;;;;;;;;;,Viber 1,Viber 2,Тип;;;;;;;;;;;;;;;;;,Тип;;;;;;;;;;;;;;;;;;;;;;;
магазин,"Игрушки; Хозтовары;"" Посуда",микрорайон Жетысу-2," 8""""",,50063.0,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-20:00""; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00",+05:00,,,87075801616,,,,,,,,,,,,https://wa.me/77075801616,,,,,,,43.225194,76.841451,https://2gis.com/firm/70000001093693134,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Мототехника; Ремонт / тюнинг мототехники;"" Запчасти для мототехники",проспект Райымбека," 490а""""",,50031.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Вт: 09:00-19:00""; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00",+05:00,4.4,61.0,87073400706,87084949498,87004949498.0,,,,,,,https://instagram.com/bas.moto,,,https://wa.me/77073400706,,,,,,,43.249184,76.846232,https://2gis.com/firm/70000001080499048,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Женская одежда; Сумки / Кожгалантерея; Спортивная одежда / обувь;"" Мужская одежда",улица Толе би," 298/7""""",вывеска BayerDinaKz,50031.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 11:00-20:00""; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительному звонку)",+05:00,5.0,4.0,87021963936,,,,,,,,,https://instagram.com/bayer_dinakz,,,https://wa.me/77020665981,,,,https://t.me/multibrandshopkz,,,43.243545,76.853528,https://2gis.com/firm/70000001062732396,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Сумки / Кожгалантерея; Бижутерия;"" Часы / Аксессуары",микрорайон Куаныш," 11в/28""""",,50052.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-22:00""; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00",+05:00,,,87478480213,,,,,,,,,https://instagram.com/bb.collection_almaty,,,,,,,,,,43.207402,76.858632,https://2gis.com/firm/70000001095164008,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Продуктовые магазины; Средства гигиены; Хозтовары;"" Бытовая химия",улица Каныша Сатпаева," 145""""",,50046.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-23:00""; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00",+05:00,4.4,11.0,87074986815,,,,,,,,,,,,https://wa.me/77074986815,,,,,,,43.232293,76.871186,https://2gis.com/firm/70000001060771244,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Шины / Диски; Хранение шин;"" Шиномонтаж",улица Щепеткова," 117""""",,50035.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-18:00""; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00",+05:00,5.0,3.0,87018270900,87056773121,,,,,,,,https://instagram.com/berlin_tires.kz,,,https://wa.me/77018270900,,,,,,,43.230325,76.871882,https://2gis.com/firm/70000001092855608,,,,,,,,branch;;;;;;;;;;,,,,
магазин автоаксессуаров,"Автоаксессуары; Автохимия;"" Установка / ремонт автомобильной оптики",улица Садовникова," 118""""",1 этаж,50035.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-20:30""; Вт: 10:00-20:30; Ср: 10:00-20:30; Чт: 10:00-20:30; Пт: 10:00-20:30; Сб: 10:00-20:30; Вс: 10:00-20:30",+05:00,4.6,60.0,87088171995,,,,,,,,,https://instagram.com/best_for_auto.kz,,,https://wa.me/77088171995,,,,,,,43.22852,76.874213,https://2gis.com/firm/70000001038022656,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Косметика / Парфюмерия;"" БАДы",Жетысу-3 микрорайон," 25""""","1 бутик""; 1 этаж",50063.0,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-18:00,+05:00,5.0,2.0,87071074000,,,,,,http://Biota.satu.kz,,,https://instagram.com/biota.kz,,,https://wa.me/77071074000,,,,,,,43.218346,76.843717,https://2gis.com/firm/70000001046955231,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Хозтовары; Посуда;"" Бытовая химия",микрорайон Аксай-5," 25""""","B3 бутик""; 2 этаж",50063.0,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,3.3,8.0,87763239960,,,,,,,,,,,,https://wa.me/77763239960,,,,,,,43.230509,76.832857,https://2gis.com/firm/70000001067305757,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Детская одежда;"" Детская обувь",проспект Райымбека," 514а""""",3 этаж,50031.0,Аксай-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-22:00""; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00",+05:00,1.3,2.0,87003838353,,,,,,,,,https://instagram.com/bobek_shop_kz,,,https://wa.me/77003838353,,,,,,,43.244231,76.835934,https://2gis.com/firm/70000001069547329,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Домашний текстиль; Ковры; Мягкая мебель;"" Сувениры",улица Кабдолова," 1/8""""","06 бутик""; 6 ряд; D линия",50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.7,3.0,87762891896 (единый номер),,,,,,http://www.britishasiahome.kz,,,https://instagram.com/british.asia.home,,,https://wa.me/77758891327,,,,,,,43.236746,76.845286,https://2gis.com/firm/70000001048864134,,,,,,,,branch;;;;;;;,,,,
магазин,"Ковры; Мягкая мебель;"" Домашний текстиль",улица Кабдолова," 1/8""""","11а бутик""; 6 ряд; 2 блок",50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.7,6.0,87272275137,,,,,,http://www.britishasiahome.kz,,,https://instagram.com/british.asia.home,,,https://wa.me/77758891327,,,,,,,43.236514,76.845213,https://2gis.com/firm/9429940001538462,,,,,,,,branch;;;;;;;;,,,,
супермаркет,"Супермаркеты; Доставка продуктов; Зоотовары; Диетические / соевые продукты;"" Детское питание",улица Кабдолова," 1/4""""",1 этаж,50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-22:00""; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00",+05:00,3.9,803.0,87078498979,,,,,,http://carefood.kz,,,https://instagram.com/carefood.kz,,,https://wa.me/77078498979,,,viber://chat/?number=77078498979,https://t.me/+77078498979,,,43.238485,76.850112,https://2gis.com/firm/70000001028536067,,,,,,,internetmagazin@carefood.kz,branch;;;;;;;;,,,,
магазин,"Женская одежда; Сумки / Кожгалантерея;"" Обувные магазины",8-й микрорайон," 37/1""""","124 бутик""; 1 этаж",50006.0,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.9,29.0,87785557980,,,,,,http://instabio.cc/chantalll,,,https://instagram.com/chantal.kz,,,https://wa.me/77785557980,https://wa.me/77007270505,,,,,,43.227429,76.863845,https://2gis.com/firm/70000001056720792,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Мясо / Полуфабрикаты;"" Мясо птицы / Полуфабрикаты",микрорайон Астана," 34""""",1 этаж,50036.0,Астана м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Ср: 12:00-22:00""; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00",+05:00,,,,,,,,,,,,,,,,,,,,,,43.210461,76.847864,https://2gis.com/firm/70000001047214288,,,,,,,,branch;;;;;;;;;;;;;,,,,
магазин,"Женская одежда; Косметика / Парфюмерия;"" Бижутерия",микрорайон Аксай 2," 8/3""""","9А бутик""; 3 этаж",50031.0,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.1,31.0,87071417080,,,,,,,,,https://instagram.com/crazy.shop13,,,https://wa.me/77071417080,,,,,,,43.239827,76.834404,https://2gis.com/firm/70000001065988811,,,,,,,,branch;;;;;;;;;,,,,
магазин ,"Супермаркеты; Быстрое питание; Магазины ингредиентов азиатской кухни; Продукты быстрого приготовления; Косметика / Парфюмерия; Диетические / соевые продукты;"" Продажа кофе",6-й микрорайон," 3Б""""",,50036.0,6-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 00:20-23:45""; Вт: 00:20-23:45; Ср: 00:20-23:45; Чт: 00:20-23:45; Пт: 00:20-23:45; Сб: 00:20-23:45; Вс: 00:20-23:45",+05:00,1.0,5.0,87273133912,,,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,43.223566,76.858669,https://2gis.com/firm/70000001095118020,,,,,,,,branch;;;;;;,,,,
магазин ,"Супермаркеты; Быстрое питание; Магазины ингредиентов азиатской кухни; Продукты быстрого приготовления; Косметика / Парфюмерия; Диетические / соевые продукты;"" Продажа кофе",улица Навои," 39 блок 12""""",,50042.0,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 00:20-23:45""; Вт: 00:20-23:45; Ср: 00:20-23:45; Чт: 00:20-23:45; Пт: 00:20-23:45; Сб: 00:20-23:45; Вс: 00:20-23:45",+05:00,4.4,28.0,,,,,,,,,,https://instagram.com/cu_kazakhstan,,,,,,,,,,43.215742,76.88064,https://2gis.com/firm/70000001092718742,,,,,,,,branch;;;;;;,,,,
магазин ,"Оборудование для очистки воды; Массажное оборудование;"" Бытовая техника",улица Толе би," 301""""","4 кабинет""; 1 этаж",50031.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,2.0,87005950001,87000551295,,,,,,,,https://instagram.com/dluxe.kz,,,https://wa.me/77005950001,https://wa.me/77000551295,,,,,,43.243231,76.84293,https://2gis.com/firm/70000001092501163,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Мебель для ванных комнат; Мебель для кухни;"" Межкомнатные двери",улица Кабдолова," 1/8""""","8 место""; 8 ряд; F линия",50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,3.3,10.0,87780413813,,,,,,http://daiva-shop.kz,,,https://instagram.com/daivashop.kz,,,https://wa.me/77780413813,,,,,,,43.236918,76.845517,https://2gis.com/firm/70000001046623027,,,,,,,,branch;;;;;;;;,,,,
магазин  ,"Канцтовары; Игрушки; Точки безалкогольных напитков; Кондитерские изделия;"" Копировальные услуги",улица Саяна Шаймерденова," 32в блок 1""""",,50052.0,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-19:00""; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00",+05:00,5.0,8.0,87754711192,,,,,,,,,https://instagram.com/daytoday.ala,,,https://wa.me/77754711192,,,,https://t.me/+77754711192,,,43.198697,76.854437,https://2gis.com/firm/70000001093031114,,,,,,,,branch;;;;;;;;,,,,
магазин,"Женская одежда;"" Обувные магазины",11-й микрорайон," 3""""",1 этаж,50006.0,11 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-19:00""; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00",+05:00,2.8,16.0,87071058080,,,,,,,,,https://instagram.com/defile_almaty,,,https://wa.me/77071058080,,,,,,,43.221145,76.870892,https://2gis.com/firm/70000001019595048,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Женская одежда; Обувные магазины;"" Сумки / Кожгалантерея",8-й микрорайон," 37/1""""",2 этаж,50006.0,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-22:00""; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00",+05:00,3.7,6.0,87001715707,,,,,,,,,https://instagram.com/dentelle.almaty,,,https://wa.me/77001715707,,,,,,,43.227137,76.863534,https://2gis.com/firm/70000001056720799,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Косметика / Парфюмерия; Бытовая химия;"" Средства гигиены",Жетысу-1 микрорайон," 40""""",1 этаж,50063.0,Жетысу-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-20:00""; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00",+05:00,3.0,2.0,87074709982,,,,,,,,,https://instagram.com/dicosm.almaty,,,https://wa.me/77074709982,,,,,,,43.219168,76.838924,https://2gis.com/firm/70000001019817091,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Одежда / обувь для силовых структур; Товары для туризма и отдыха; Спортивный инвентарь; Верхняя одежда;"" Сумки / Кожгалантерея",Саина улица," 16а""""",возле Magnum Super,50031.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 12:00-20:00""; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-18:00; Вс: 12:00-18:00",+05:00,5.0,1.0,87005510022,,,,,,http://dmtactical.kz,,,https://instagram.com/dm.tactical,,,https://wa.me/77005510022,,,,,,,43.239575,76.841016,https://2gis.com/firm/70000001092870525,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Мужская одежда;"" Женская одежда",улица Кабдолова," 1""""","7 бутик""; А линия; 11 блок",50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.9,7.0,87072041818,,,,,,,,,https://instagram.com/dreamwhitekz,,,https://wa.me/77072041818,,,,,,,43.238399,76.856433,https://2gis.com/firm/70000001065504388,,,,,,,,branch;;;;;;;;;,,,,
магазин электроники,"Бытовая техника; Очистители воздуха;"" Запчасти для бытовой техники",проспект Абая," 218/1""""",1 этаж,50006.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-19:00""; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:00-16:00",+05:00,4.8,28.0,87715046894,,,,,,http://shop-dyson.kz,,,https://instagram.com/dysonkazakhstan,https://facebook.com/Dyson-KZ-112108441295618,,https://wa.me/77715046894,,,,,,,43.232402,76.870371,https://2gis.com/firm/70000001058989971,,,,,,,info@shop-dyson.kz,branch;;;;;;;;;;;,,,,
магазин экопродуктов,"Продукты пчеловодства; Диетические / соевые продукты; Орехи / Семечки / Сухофрукты; Мука / Крупы;"" Продажа чая",микрорайон 10а," 12""""",1 этаж,50036.0,10а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-20:00""; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00",+05:00,4.8,39.0,87027774569,,,,,,,,,https://instagram.com/eco_market.kz,,,https://wa.me/77027774569,https://wa.me/77750005423,,,https://t.me/+77750005423,,,43.214635,76.858018,https://2gis.com/firm/70000001039587597,,,,,,,,branch;;;;;;;;,,,,
магазин,"Обувные магазины;"" Сумки / Кожгалантерея",улица Кабдолова," 1/4""""","8 бутик""; Н линия",50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.3,27.0,87473986525,87771136612,,,,,,,,https://instagram.com/faststep.kz,https://facebook.com/faststepGB,,https://wa.me/77472377097,,,,https://t.me/+77473986525,https://youtube.com/FastStepShoes,,43.238556,76.850987,https://2gis.com/firm/70000001058703896,,,,,,,,branch;;;;;;;;;;,,,,
продуктовый магазин,"Продуктовые магазины;"" Разливное пиво",6-й микрорайон," 11""""",1 этаж,50036.0,6-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-02:00""; Вт: 07:30-02:00; Ср: 07:30-02:00; Чт: 07:30-02:00; Пт: 07:30-02:00; Сб: 07:30-02:00; Вс: 07:30-02:00",+05:00,3.8,18.0,87023512462,,,,,,,,,,,,https://wa.me/77023512462,,,,,,,43.220895,76.854026,https://2gis.com/firm/70000001037210477,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Компьютеры / Комплектующие; Автоаксессуары; Мужская одежда;"" Женская одежда",микрорайон Таугуль-1," 47г""""","6 офис""; цокольный этаж",50042.0,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,5.0,1.0,87084055674,87089652331,,,,,,,,,,,https://wa.me/77084055674,,,,,,,43.21301,76.881157,https://2gis.com/firm/70000001089877820,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Швейная фурнитура; Товары для творчества; Пряжа; Ювелирные камни;"" Сумки / Кожгалантерея",микрорайон Аксай-4," 70Б""""","14/1 бутик""; цокольный этаж",50063.0,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,35.0,87016164440,,,,,,,,,https://instagram.com/furniture_mama.s,,,https://wa.me/77016164440,,,,,,,43.225887,76.840753,https://2gis.com/firm/70000001034628959,,,,,,,,branch;;;;;;;,,,,
магазин,"Профессиональная косметика;"" Оборудование для салонов красоты",улица Жандосова," 98""""","210 офис""; 2 этаж",50042.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 09:00-14:00,+05:00,4.3,6.0,87476189200,87754250590,,,,,http://www.futora.kz,,,https://instagram.com/futora.kz,,,https://wa.me/77754250590,https://wa.me/77476189200,,,,https://youtube.com/@FutoraPROFORPRO,,43.219596,76.880092,https://2gis.com/firm/70000001061017787,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Нижнее бельё;"" Купальники",улица Яссауи," 68""""","2 ряд""; 2 этаж",50063.0,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.2,16.0,87071666670,87475222513,,,,,,,,https://instagram.com/girlboss.kzt,,,https://wa.me/77475222513,,,,,,,43.22412,76.828759,https://2gis.com/firm/70000001059493885,,,,,,,,branch;;;;;;;;;;,,,,
продуктовый магазин,"Продуктовые магазины;"" Доставка продуктов",улица Садвакасова," 172""""",1 этаж,50063.0,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-22:30""; Вт: 09:00-22:30; Ср: 09:00-22:30; Чт: 09:00-22:30; Пт: 09:00-22:30; Сб: 09:00-22:30; Вс: 09:00-22:30",+05:00,3.2,7.0,,,,,,,,,,,,,,,,,,,,43.214609,76.837283,https://2gis.com/firm/70000001065987487,,,,,,,,branch;;;;;;;;;;;,,,,
магазин экотоваров,"Косметика / Парфюмерия; Средства гигиены; БАДы; Хозтовары;"" Фитопродукция",улица Жандосова," 162а""""",1 этаж,50042.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 11:00-19:00""; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00",+05:00,3.2,19.0,87761687809,,,,,,http://Greenwayglobal.kz,,,https://instagram.com/assel_ecogreen,,,https://wa.me/77761687809,,,,,,,43.211672,76.869509,https://2gis.com/firm/70000001030740044,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Продуктовые магазины;"" Хозтовары",улица Шамгона Кажыгалиева," 22""""",,50063.0,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-18:00""; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00",+05:00,,,,,,,,,,,,,,,,,,,,,,43.224381,76.829174,https://2gis.com/firm/70000001082397138,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Игрушки; Детская одежда; Товары для новорождённых;"" Настольные игры",микрорайон Аксай-5," 25""""","В62 бутик""; 2 этаж",50063.0,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87078100634,,,,,,,,,https://instagram.com/happy.kids_almaty,,,https://wa.me/77078100634,,,,,,,43.230509,76.832857,https://2gis.com/firm/70000001048145180,,,,,,,,branch;;;;;;;;,,,,
магазин,"Товары для праздников;"" Игрушки",улица Утеген батыра," 56/2""""",,50061.0,Тастак-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-24:00""; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00",+05:00,5.0,11.0,87472607645,,,,,,,,,https://instagram.com/holiday.shary_almaty,,,https://wa.me/77472607645,,,,,,,43.24711,76.855732,https://2gis.com/firm/70000001089835430,,,,,,,,branch;;;;;;;;;;;,,,,
продуктовый магазин,"Продуктовые магазины; Канцтовары;"" Бытовая химия",Мамыр-4 микрорайон," 302а""""",,50036.0,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-24:00""; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00",+05:00,4.3,24.0,,,,,,,,,,,,,,,,,,,,43.213581,76.850694,https://2gis.com/firm/70000001046228715,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Мясо / Полуфабрикаты;"" Мясо птицы / Полуфабрикаты",улица Кабдолова," 1/4""""",5 блок,50062.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-21:00""; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00",+05:00,3.8,8.0,87470352521,,,,,,,,,https://instagram.com/i_bereke_et,,,https://wa.me/77470352521,,,,,,,43.237869,76.847908,https://2gis.com/firm/70000001083787943,,,,,,,,branch;;;;;;;;;;;,,,,
магазин,"Аксессуары к телефонам; Солнцезащитные очки; Часы / Аксессуары;"" Помощь в подключении услуг связи",4-й микрорайон," 4е""""",,50062.0,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-01:00""; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00",+05:00,4.6,10.0,87072600838,87024274742,,,,,,,,,,,https://wa.me/77072600838,https://wa.me/77024274742,,,,,,43.227414,76.861341,https://2gis.com/firm/70000001076646437,,,,,,,,branch;;;;;;;;;,,,,
магазин,"Бытовая техника; Средства гигиены; Автоаксессуары;"" Товары для туризма и отдыха",улица Толе би," 285/8 к7""""",цокольный этаж,50031.0,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-17:00""; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00",+05:00,5.0,3.0,87760053266,,,,,,,,,,,,https://wa.me/77760053266,,,,,,,43.247723,76.852865,https://2gis.com/firm/70000001068074165,,,,,,,,branch;;;;;;;;;;,,,,
магазин,"Джинсовая одежда;"" Игрушки",4-й микрорайон," 24""""",1 этаж,50062.0,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-20:00""; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00",+05:00,4.5,14.0,87056668381,87476785606,,,,,,,,https://instagram.com/jeans_almaty2,,,https://wa.me/77056668381,,,,,,,43.229022,76.857535,https://2gis.com/firm/70000001050912420,,,,,,,,branch;;;;;;;;;;;,,,,
