Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Адия,мини-маркет,Супермаркеты,"улица Рыскулбекова, 28/3",1 этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.1,16,87772516619,,,,,,,,,,https://wa.me/77772516619,,,,,,,,43.203239,76.871896,https://2gis.com/firm/70000001028626626,branch
Адлет ,продуктовый магазин ,Продуктовые магазины,"микрорайон Таугуль, 40",,050042,Таугуль м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+05:00,2.4,2,87474820473,87051850582,,,,,,,,,https://wa.me/77051850582,https://wa.me/77474820473,,,,,,,43.210163,76.872087,https://2gis.com/firm/70000001088791322,branch
Азамат,,Продуктовые магазины,"улица 2-я Вишневского, 1/2",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,87074323712,,,,,,,,,,https://wa.me/77074323712,,,,,,,,43.212947,76.879797,https://2gis.com/firm/70000001089995275,branch
Азбука Рыбного Вкуса,магазин,Рыба / Морепродукты; Специи; Консервы; Безалкогольные напитки; Магазины ингредиентов азиатской кухни,"улица Шевченко, 112",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.2,33,87272930927,87760707310,,,http://food.com.kz,,,https://instagram.com/azbuka_ribnogo_vkusa,,,https://wa.me/77760707310,,,,,,,,43.244918,76.927679,https://2gis.com/firm/9429940001504749,branch
Азиз,продуктовый магазин,Продуктовые магазины,"микрорайон Сайран, 1",,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,3.0,2,87013581618,,,,,,,,,,https://wa.me/77013581618,,,,,,,,43.233346,76.869083,https://2gis.com/firm/9429940000895914,branch
Азия,магазин,Продуктовые магазины,"улица Желтоксан, 171",1 этаж,050021,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.5,28,87475980895,,,,,,,,,,https://wa.me/77475980895,,,,,,,,43.24087,76.940908,https://2gis.com/firm/70000001022269665,branch
Азия,мини-маркет,Супермаркеты,"улица Рыскулбекова, 28/8",1 этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 09:00-24:00,+05:00,4.2,43,87272653099,,,,,,,https://instagram.com/aziya_market_kz,,,https://wa.me/77011011801,,,,,,,,43.204388,76.871874,https://2gis.com/firm/70000001031279780,branch
Азия,мини-маркет,Супермаркеты,"улица Жарокова, 273а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 09:00-23:00,+05:00,4.3,24,87273379793,,,,,,,https://instagram.com/aziya_market_kz,,,https://wa.me/77011011801,,,,,,,,43.212927,76.900434,https://2gis.com/firm/9429940001690549,branch
Азия,продуктовый магазин,Продуктовые магазины,"микрорайон Казахфильм, 51/1",,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.9,9,87476098418,,,,,,,,,,,,,,,,,,43.196173,76.910872,https://2gis.com/firm/70000001086805177,branch
Азия М,продуктовый магазин,Продуктовые магазины,"улица Наурызбай батыра, 99/1",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.4,9,,,,,,,,,,,,,,,,,,,43.245204,76.93719,https://2gis.com/firm/70000001062573238,branch
Ай,мини-маркет,Супермаркеты,"проспект Абая, 47",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.1,30,87026991515,87076991515,,,,,,,,,https://wa.me/77026991515,https://wa.me/77076991515,,,,,,,43.242492,76.942175,https://2gis.com/firm/70000001026587444,branch
Ай-Ал-Ай,продовольственный магазин,Продуктовые магазины,"улица Лазарева, 3г",,050035,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.6,3,,,,,,,,,,,,,,,,,,,43.220965,76.880326,https://2gis.com/firm/9429940001156587,branch
Айгерим,мини-маркет,Супермаркеты,"улица Розыбакиева, 289 блок 1",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,2.2,12,,,,,,,,,,,,,,,,,,,43.195185,76.892758,https://2gis.com/firm/70000001025202244,branch
Айдони,мини-маркет,Супермаркеты,"улица Каныша Сатпаева, 78",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.9,44,87751775078,,,,,,,,,,https://wa.me/77751775078,,,,,,,,43.234062,76.88666,https://2gis.com/firm/70000001060422806,branch
Айдос,продовольственный магазин,Продуктовые магазины,"улица Арайлы, 1/4",,,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.9,5,,,,,,,,,,,,,,,,,,,43.188538,76.930489,https://2gis.com/firm/9429940001251785,branch
Айдос,продуктовый магазин,Продуктовые магазины,"микрорайон Орбита 2, 34",1 этаж,050043,Орбита-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.7,10,,,,,,,,,,,,,,,,,,,43.198481,76.88423,https://2gis.com/firm/9429940000924911,branch
Айзере,продуктовый магазин,Продуктовые магазины; Хозтовары,"улица Тажибаевой, 182",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,2.2,23,,,,,,,,,,,,,,,,,,,43.213437,76.891314,https://2gis.com/firm/9429940001081194,branch
Айка,продовольственный магазин,Продуктовые магазины,"улица Жандосова, 170",1 этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.8,8,,,,,,,,,,,,,,,,,,,43.209313,76.867162,https://2gis.com/firm/9429940000959338,branch
Айкын,продовольственный магазин,Продуктовые магазины,"улица Каныша Сатпаева, 56",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.7,20,,,,,,,,,,,,,,,,,,,43.234944,76.897816,https://2gis.com/firm/9429940000791744,branch
Айлин,продуктовый магазин,Продуктовые магазины,"улица Мауленова, 123",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.4,14,,,,,,,,,,,,,,,,,,,43.244188,76.93552,https://2gis.com/firm/9429940000977645,branch
Аймырза,продовольственный магазин,Продуктовые магазины,"микрорайон Орбита 2, 17а",1 этаж,050043,Орбита-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+05:00,2.4,9,,,,,,,,,,,,,,,,,,,43.19535,76.884026,https://2gis.com/firm/9429940000843293,branch
Айна,продуктовый магазин,Продуктовые магазины,"улица Римского-Корсакова, 4",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,1.6,42,87771201933,,,,,,,,,,https://wa.me/77771201933,,,,,,,,43.234848,76.927095,https://2gis.com/firm/70000001022770721,branch
Айналайын,мини-маркет,Супермаркеты,"улица Тимирязева, 49",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-01:00; Вт: 06:00-01:00; Ср: 06:00-01:00; Чт: 06:00-01:00; Пт: 06:00-01:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.4,21,87471188106,87072773086,,,,,,,,,https://wa.me/77471188106,,,,,,,,43.226731,76.915293,https://2gis.com/firm/70000001036888934,branch
Айхан,продуктовый магазин,Продуктовые магазины,"микрорайон Орбита 2, 12",1 этаж,050043,Орбита-2 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.3,20,,,,,,,,,,,,,,,,,,,43.195242,76.886289,https://2gis.com/firm/9429940000843304,branch
Айша,магазин,Продуктовые магазины,"территория СТ Ветеран, 7",,050043,СТ Ветеран,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,3.0,3,87770940884,,,,,,,,,,https://wa.me/77770940884,,,,,,,,43.202061,76.865706,https://2gis.com/firm/70000001090346205,branch
Айша,продуктовый магазин,Продуктовые магазины; Бытовая химия,"улица Ади Шарипова, 118-120",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.8,18,87071904142,,,,,,,,,,https://wa.me/77071904142,,,,,,,,43.242614,76.92388,https://2gis.com/firm/70000001046975264,branch
Ак ниет,продуктовый магазин,Продуктовые магазины,"улица Рыскулбекова, 15",,050042,Таугуль-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.1,15,,,,,,,,,,,,,,,,,,,43.207065,76.881136,https://2gis.com/firm/9429940001024377,branch
Ак-Бастау,продуктовый магазин,Продуктовые магазины,"Василия Клочкова улица, 45",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+05:00,3.4,13,,,,,,,,,,,,,,,,,,,43.243995,76.900143,https://2gis.com/firm/9429940000962926,branch
Ак-Ел,продовольственный магазин,Продуктовые магазины,"улица Центральная, 1163а",,,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,3.0,9,,,,,,,,,,,https://wa.me/77787777958,,,,,,,,43.168393,76.916725,https://2gis.com/firm/70000001032457872,branch
Ак-Жол,мини-маркет ,Супермаркеты,"микрорайон Орбита-3, 24",1 этаж,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,4.4,50,87476767080,,,,,,,,,,,,,,,,,,43.199889,76.872941,https://2gis.com/firm/9429940000901230,branch
Ак-Ниет,мини-маркет,Супермаркеты,"улица Кенесары хана, 54/11",1 этаж,050070,Каргалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.3,16,,,,,,,,,,,,,,,,,,,43.170795,76.872343,https://2gis.com/firm/9429940001228231,branch
Академ Городок,мини-маркет,Супермаркеты,"проспект Аль-Фараби, 75/2",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.3,9,,,,,,,,,,,,,,,,,,,43.210266,76.914789,https://2gis.com/firm/9429940001707721,branch
Акбар,продовольственный магазин,Продуктовые магазины; Хозтовары,"улица Тимирязева, 111а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.0,26,87072044232,,,,,,,,,,https://wa.me/77072044232,,,,,,,,43.226007,76.890304,https://2gis.com/firm/70000001018583080,branch
Акбота,продовольственный магазин,Продуктовые магазины,"улица Жангир хана, 103",,,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.9,11,87076007007,87760777760,,,,,,,,,https://wa.me/77076007007,https://wa.me/77760777760,,,,,,,43.184848,76.926684,https://2gis.com/firm/9429940001251809,branch
Акку,магазин,Бытовая химия; Хозтовары; Овощи / Фрукты,"улица Сулейменова, 23",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.9,2,,,,,,,,,,,,,,,,,,,43.211743,76.877312,https://2gis.com/firm/70000001081895746,branch
Акку,магазин,Продуктовые магазины,"улица Сулейменова, 23",1 этаж,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.4,12,,,,,,,,,,,,,,,,,,,43.211743,76.877312,https://2gis.com/firm/9429940001192347,branch
Акку,магазин продуктов,Продуктовые магазины,"улица Розыбакиева, 94",1 этаж; вход с ул. Розыбакиева,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-01:00,+05:00,3.6,155,87018223399,,,,,,,,,,https://wa.me/77018223399,,,,,,,,43.239489,76.890087,https://2gis.com/firm/9429940000954155,branch
Акку,продуктовый магазин,Продуктовые магазины,"микрорайон Сайран, 6",цокольный этаж,050062,Сайран м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.0,19,,,,,,,,,,,,,,,,,,,43.234532,76.865804,https://2gis.com/firm/9429940000791913,branch
Акмарал,продовольственный магазин,Продуктовые магазины,"улица Витебская, 16а",,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00,+05:00,1.9,17,,,,,,,,,,,,,,,,,,,43.196509,76.899206,https://2gis.com/firm/9429940001238475,branch
Акмарал,продовольственный магазин,Продуктовые магазины,"микрорайон Самал-1, 24",1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.2,32,87272632218,,,,,,,,,,,,,,,,,,43.234513,76.953715,https://2gis.com/firm/9429940000941056,branch
Акнур,продуктовый магазин,Продуктовые магазины; Разливное пиво; Бытовая химия,"5-й микрорайон, 30",1 этаж,050062,5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.2,33,87272492854,,,,,,,,,,,,,,,,,,43.231324,76.867569,https://2gis.com/firm/9429940000789088,branch
Аксу,продуктовый магазин,Продуктовые магазины,"микрорайон Самал-2, 23а",,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:30-24:00; Вт: 07:30-24:00; Ср: 07:30-24:00; Чт: 07:30-24:00; Пт: 07:30-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.7,17,87011122334,,,,,,,,,,https://wa.me/77011122334,,,,,,,,43.229417,76.956124,https://2gis.com/firm/9429940000791954,branch
Акшабай,продуктовый магазин,Продуктовые магазины; Бытовая химия,"улица Минусинская, 13",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,4.5,16,87074143001,87770860886,,,,,,,,,https://wa.me/77074143001,https://wa.me/77770860886,,,,,,,43.228972,76.934799,https://2gis.com/firm/9429940000983848,branch
Ақмарал,мини-маркет,Супермаркеты,"микрорайон Самал-2, 32а",1 этаж,050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.5,13,,,,,,,,,,,,,,,,,,,43.229458,76.954405,https://2gis.com/firm/70000001064879303,branch
Алан,продуктовый магазин,Продуктовые магазины,"переулок Лебедева, 23/1",,050071,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,21,87471893103,,,,,,,,,,https://wa.me/77471893103,,,,,,,,43.227401,76.886568,https://2gis.com/firm/70000001089874732,branch
Алатау,мини-маркет,Супермаркеты,"улица Маркова, 61/1",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.2,3,,,,,,,,,,,,,,,,,,,43.22631,76.934725,https://2gis.com/firm/70000001066943148,branch
Алатау,продовольственный магазин,Продуктовые магазины,"улица Ерулик, 55/1",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,2.4,5,,,,,,,,,,,,,,,,,,,43.187234,76.892926,https://2gis.com/firm/9429940001240547,branch
Албан,продуктовый магазин,Продуктовые магазины; Бытовая химия,"улица Туркебаева, 197а",1 этаж,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,5,,,,,,,,,,,,,,,,,,,43.238848,76.880389,https://2gis.com/firm/70000001029486684,branch
Александр,продовольственный магазин,Продуктовые магазины,"улица Коксарай, 2а",1 этаж,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.7,9,87272986299,,,,,,,,,,,,,,,,,,43.190742,76.901666,https://2gis.com/firm/9429940001238347,branch
Алем,продовольственный магазин,Продуктовые магазины,"улица Панфилова, 197",1 этаж; напротив вкусняшки столовая,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,1.1,21,87272641251,87057246594,,,,,,,,,,,,,,,,,43.229829,76.948164,https://2gis.com/firm/9429940000792076,branch
Алибек,продуктовый магазин,Продуктовые магазины; Хозтовары,"улица Жамакаева, 40",,050040,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.6,10,,,,,,,,,,,,,,,,,,,43.221756,76.941196,https://2gis.com/firm/9429940001197389,branch
Алина,​продуктовый магазин,Продуктовые магазины,"улица Габдуллина, 78",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.9,13,87770816369,,,,,,,,,,,,,,,,,,43.228219,76.912652,https://2gis.com/firm/70000001076467733,branch
Алихан,продовольственный магазин,Продуктовые магазины,"улица Абиша Кекилбайулы, 270 блок 1",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.7,22,87058055806,,,,,,,,,,,,,,,,,,43.200193,76.890773,https://2gis.com/firm/9429940001179922,branch
Алма маркет,мини-маркет,Супермаркеты,"улица Кажымукана, 49",1 этаж,050059,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,1.7,42,87756316497,,,,,,,,,,,,,,,,,,43.225829,76.954528,https://2gis.com/firm/70000001059441274,branch
Алма маркет,мини-маркет,Продуктовые магазины,"проспект Абая, 130",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 08:00-24:00,+05:00,3.0,48,,,,,,,,,,,,,,,,,,,43.236778,76.888672,https://2gis.com/firm/70000001045299669,branch
Алмалы,продовольственный магазин,Продуктовые магазины,"территория СТ Мамыр, 79",1 этаж,,Баганашыл м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.9,8,,,,,,,,,,,,,,,,,,,43.196082,76.918517,https://2gis.com/firm/70000001024415528,branch
Алматы тунi,продовольственный магазин,Продуктовые магазины,"улица Лебедева, 4/1",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-02:00; Вт: 09:00-02:00; Ср: 09:00-02:00; Чт: 09:00-02:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-02:00,+05:00,2.6,17,,,,,,,,,,,,,,,,,,,43.222388,76.883828,https://2gis.com/firm/70000001022033862,branch
